company_id,company_name,a_code,h_code,a_exchange,a_ticker,h_ticker,industry,status,source,updated_at
AH_000488_01812,ST晨鸣,000488,01812,SZ,000488.SZ,01812.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601186_01186,XD中国铁,601186,01186,SH,601186.SS,01186.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601456_01456,XD国联民,601456,01456,SH,601456.SS,01456.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601038_00038,一拖股份,601038,00038,SH,601038.SS,00038.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_000002_02202,万科Ａ,000002,02202,SZ,000002.SZ,02202.HK,房地产与公用,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600031_06031,三一重工,600031,06031,SH,600031.SS,06031.HK,汽车与装备,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300408_06951,三环集团,300408,06951,SZ,300408.SZ,06951.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002050_02050,三花智控,002050,02050,SZ,002050.SZ,02050.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601607_02607,上海医药,601607,02607,SH,601607.SS,02607.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601727_02727,上海电气,601727,02727,SH,601727.SS,02727.HK,汽车与装备,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600688_00338,上海石化,600688,00338,SH,600688.SS,00338.HK,能源电力,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600875_01072,东方电气,600875,01072,SH,600875.SS,01072.HK,汽车与装备,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600958_03958,东方证券,600958,03958,SH,600958.SS,03958.HK,证券与金融,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002672_00895,东江环保,002672,00895,SZ,002672.SZ,00895.HK,房地产与公用,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_605499_09980,东鹏饮料,605499,09980,SH,605499.SS,09980.HK,消费,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300919_02579,中伟新材,300919,02579,SZ,300919.SZ,02579.HK,有色与材料,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601066_06066,中信建投,601066,06066,SH,601066.SS,06066.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600030_06030,中信证券,600030,06030,SH,600030.SS,06030.HK,证券与金融,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601998_00998,中信银行,601998,00998,SH,601998.SS,00998.HK,银行,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_000063_00763,中兴通讯,000063,00763,SZ,000063.SZ,00763.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
