company_name,a_code,h_code,status,source
万  科Ａ,000002,02202,active,validated_202_snapshot_2026-07-30
中集集团,000039,02039,active,validated_202_snapshot_2026-07-30
中兴通讯,000063,00763,active,validated_202_snapshot_2026-07-30
中联重科,000157,01157,active,validated_202_snapshot_2026-07-30
申万宏源,000166,06806,active,validated_202_snapshot_2026-07-30
美的集团,000333,00300,active,validated_202_snapshot_2026-07-30
潍柴动力,000338,02338,active,validated_202_snapshot_2026-07-30
ST晨鸣,000488,01812,active,validated_202_snapshot_2026-07-30
丽珠集团,000513,01513,active,validated_202_snapshot_2026-07-30
新华制药,000756,00719,active,validated_202_snapshot_2026-07-30
广发证券,000776,01776,active,validated_202_snapshot_2026-07-30
鞍钢股份,000898,00347,active,validated_202_snapshot_2026-07-30
海信家电,000921,00921,active,validated_202_snapshot_2026-07-30
弘业期货,001236,03678,active,validated_202_snapshot_2026-07-30
龙源电力,001289,00916,active,validated_202_snapshot_2026-07-30
广合科技,001389,01989,active,validated_202_snapshot_2026-07-30
三花智控,002050,02050,active,validated_202_snapshot_2026-07-30
沃尔核材,002130,09981,active,validated_202_snapshot_2026-07-30
金风科技,002202,02208,active,validated_202_snapshot_2026-07-30
顺丰控股,002352,06936,active,validated_202_snapshot_2026-07-30
海普瑞,002399,09989,active,validated_202_snapshot_2026-07-30
赣锋锂业,002460,01772,active,validated_202_snapshot_2026-07-30
天齐锂业,002466,09696,active,validated_202_snapshot_2026-07-30
立讯精密,002475,02475,active,validated_202_snapshot_2026-07-30
大金重工,002487,01081,active,validated_202_snapshot_2026-07-30
山东墨龙,002490,00568,active,validated_202_snapshot_2026-07-30
比亚迪,002594,01211,active,validated_202_snapshot_2026-07-30
领益智造,002600,01688,active,validated_202_snapshot_2026-07-30
东江环保,002672,00895,active,validated_202_snapshot_2026-07-30
浙江世宝,002703,01057,active,validated_202_snapshot_2026-07-30
牧原股份,002714,02714,active,validated_202_snapshot_2026-07-30
埃斯顿,002747,02715,active,validated_202_snapshot_2026-07-30
国恩股份,002768,02768,active,validated_202_snapshot_2026-07-30
吉宏股份,002803,02603,active,validated_202_snapshot_2026-07-30
凯莱英,002821,06821,active,validated_202_snapshot_2026-07-30
钧达股份,002865,02865,active,validated_202_snapshot_2026-07-30
